Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta,Market Cap (intraday) clean,Enterprise Value clean,language,region,quoteType,quoteSourceName,triggerable,Currency,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,sharesOutstanding,Book Value,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,P/B,sourceInterval,exchangeDataDelayedBy,Analyst Rating,tradeable,marketState,postMarketPrice,postMarketChange,1 D Change $,1 D Change %,regularMarketTime,Price,High,regularMarketDayRange,Low,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,52wk Low,52wk High,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,Dividend,P/E,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,twoHundredDayAverageChangePercent,Company,exchange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,displayName,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
CAH,16.57B,19.68B,14.62,9.22,1.5,0.11,9.28,0.13,7.26,1.08,16570000000.0,19680000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626209086,290148000.0,6.151,57.181767,-0.081768036,-0.001429967,56.76585,0.3341484,16567450624.0,9.224555,9.283043,15,0,,False,POST,57.1,0.0,-0.34,-0.591922,1626206402,57.1,57.67,56.86 - 57.67,56.86,1347423,57.44,56.89,58.28,14,10,NYSE,USD,57.35,2260825,1751280,12.449997,0.2788353,44.65 - 62.96,-5.8600006,-0.09307498,44.65,62.96,1626307200.0,1620304200.0,1628080200.0,1628512200.0,1.944,14.618536,0.033844013,3.906,6.19,5.99,9.532555,0.005886434,"Cardinal Health, Inc.",NYQ,"Cardinal Health, Inc.",finmb_172207,America/New_York,EDT,-14400000,us_market,False,,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971
CARR,42.78B,48.15B,,21.04,1.16,2.34,,2.64,19.41,,42780000000.0,48150000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.34532192,1626214229,868998976.0,,46.704704,2.5252953,0.0540694,42.052963,7.1770363,42780819456.0,,,15,0,,False,POST,49.4,0.17000198,0.0200005,0.0406431,1626206402,49.23,49.615,49.03 - 49.615,49.03,5509895,49.21,49.0,49.27,8,14,NYSE,USD,49.09,5723223,4649240,25.0,1.0317788,24.23 - 49.615,-0.38500214,-0.007759793,24.23,49.615,1628553600.0,1619693940.0,1619693940.0,1619693940.0,,,,,,2.06,23.898058,0.1706666,Carrier Global Corporation,NYQ,Carrier Global Corporation,finmb_620281,America/New_York,EDT,-14400000,us_market,False,,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,1783180,2020 (1915)
CAT,117.88B,146.95B,34.41,17.92,1.24,2.74,7.11,3.42,18.82,0.92,117880000000.0,146950000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.041821804,1626216069,547787008.0,30.256,224.73177,-9.541763,-0.042458452,217.82452,-2.6345215,117878000000.0,17.917568,7.112308,15,0,,False,POST,215.1,-0.08999634,-3.39,-1.55092,1626206402,215.19,219.05,214.71 - 219.05,214.71,2372175,218.58,215.0,215.48,14,10,NYSE,USD,218.96,3516728,3290280,85.96001,0.6651707,129.23 - 246.69,-31.5,-0.12769063,129.23,246.69,1629417600.0,1619677800.0,1627540200.0,1627900200.0,4.12,34.40838,0.018848933,6.254,12.01,9.79,21.980593,-0.012094696,"Caterpillar, Inc.",NYQ,Caterpillar Inc.,finmb_259378,America/New_York,EDT,-14400000,us_market,False,,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04,18230,1925
CB,73.31B,86.92B,13.24,12.75,0.63,1.91,1.24,2.26,15.41,0.71,73310000000.0,86920000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626207461,449691008.0,131.374,164.52147,-1.5014648,-0.009126254,163.03918,-0.019180298,73308626944.0,12.745895,1.2408849,15,0,,False,POST,163.02,0.0,-1.59,-0.965917,1626206402,163.02,164.7,162.96 - 164.7,162.96,1152049,164.61,160.33,163.33,8,9,NYSE,USD,163.81,2010971,1392620,51.090004,0.45644602,111.93 - 179.01,-15.98999,-0.089324564,111.93,179.01,1625788800.0,1619553600.0,1627297140.0,1627646400.0,3.12,13.236441,0.01895389,12.316,12.79,11.52,14.151041,-0.000117642,Chubb Limited,NYQ,Chubb Limited,finmb_203028,America/New_York,EDT,-14400000,us_market,False,,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985
CBOE,12.41B,13.96B,25.55,21.12,7.8,3.53,4.14,3.97,16.48,0.64,12410000000.0,13960000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626208794,106686000.0,28.094,115.41971,0.94029236,0.008146723,104.1657,12.194298,12413982720.0,23.942387,4.1418095,15,0,,False,POST,116.36,0.0,-1.88,-1.58998,1626206400,116.36,118.095,116.3 - 118.095,116.3,335140,118.24,111.13,117.01,8,8,BATS,USD,118.15,541849,513800,38.730003,0.49890512,77.63 - 122.27,-5.909996,-0.04833562,77.63,122.27,1623715200.0,1619767829.0,1627561800.0,1627907400.0,1.08,25.545555,0.009133966,4.555,4.86,5.37,21.66853,0.11706634,"Cboe Global Markets, Inc.",BTS,"Cboe Global Markets, Inc.",finmb_32624297,America/New_York,EDT,-14400000,us_market,False,,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973
CBRE,27.92B,30.94B,33.4,19.17,1.83,1.17,3.79,1.3,15.48,1.5,27920000000.0,30940000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.0120126,1626207464,335656992.0,21.961,87.48559,-4.2955856,-0.049100496,78.07874,5.1112595,27923306496.0,19.168203,3.7880788,15,0,,False,POST,83.19,-0.00999451,-2.62,-3.05325,1626206546,83.19,85.77,82.92 - 85.77,82.92,1155992,85.81,83.26,90.0,11,9,NYSE,USD,85.6,1515295,1534520,42.160004,1.0275409,41.03 - 90.21,-7.0199966,-0.077818386,41.03,90.21,,1619679300.0,1627561800.0,1627907400.0,,33.39623,,2.491,4.34,3.9,21.330769,0.06546288,CBRE Group Inc,NYQ,"CBRE Group, Inc.",finmb_4204816,America/New_York,EDT,-14400000,us_market,False,,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906
CCI,86.61B,110.13B,95.65,63.82,3.54,14.67,9.7,18.65,33.97,0.37,86610000000.0,110130000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.19462019,1626215000,432190016.0,20.655,195.73764,4.652359,0.023768341,174.75807,25.631927,86606553088.0,63.81847,9.701767,15,0,,False,POST,200.0,-0.3899994,-2.69,-1.3246,1626206402,200.39,203.28,200.08 - 203.28,200.08,1219352,203.08,200.0,203.64,8,9,NYSE,USD,201.65,1568230,1312500,54.240005,0.3711256,146.15 - 203.39,-3.0,-0.014749988,146.15,203.39,1625011200.0,1619021700.0,1627383540.0,1627905600.0,5.06,95.65155,0.02491629,2.095,3.14,2.5,80.156,0.14667092,Crown Castle International Corp,NYQ,Crown Castle International Corp. (REIT),finmb_27198,America/New_York,EDT,-14400000,us_market,False,,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1051470,1994
CCL,27.2B,52.11B,,63.47,0.04,32.74,1.31,62.71,-11.68,2.36,27200000000.0,52110000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.35010907,1626216360,973540992.0,17.503,28.10647,-5.2564697,-0.18701991,25.650888,-2.800888,27203840000.0,95.208336,1.3054905,15,0,,False,POST,22.93,0.07999992,-1.01,-4.23303,1626206402,22.85,23.56,22.82 - 23.56,22.82,27063164,23.86,22.95,22.95,18,31,NYSE,USD,23.56,26621223,30034780,10.740001,0.88687044,12.11 - 31.52,-8.67,-0.27506346,12.11,31.52,1584057600.0,1617786900.0,1633510380.0,1633956780.0,0.0,,0.0,-13.02,0.24,-5.41,-4.22366,-0.10919263,Carnival Corporation,NYQ,Carnival Corporation & plc,finmb_258823,America/New_York,EDT,-14400000,us_market,False,,Carnival Corporation,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,1972
CDNS,38.32B,34.76B,58.85,41.23,3.32,13.68,15.07,12.41,40.02,1.04,38320000000.0,34760000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.739905,1626214997,278264992.0,9.137,131.36089,6.3591156,0.048409507,133.62126,4.0987396,38322655232.0,41.11045,15.072781,15,0,,False,POST,136.701,-1.019,-0.009994507,-0.007256594,1626206401,137.72,138.71,137.16 - 138.71,137.16,644073,137.73,136.3,137.79,8,12,NasdaqGS,USD,137.79,1574796,1099020,42.480003,0.44603112,95.24 - 149.08,-11.360001,-0.0762007,95.24,149.08,,1619453100.0,1626692340.0,1627041600.0,,58.854702,,2.34,3.35,3.02,45.60265,0.030674307,"Cadence Design Systems, Inc.",NMS,"Cadence Design Systems, Inc.",finmb_25941,America/New_York,EDT,-14400000,us_market,False,,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988
CDW,24.42B,27.27B,29.43,21.61,2.01,1.29,20.9,1.44,16.58,1.11,24420000000.0,27270000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.287092,1626210371,140204000.0,8.335,170.35588,3.804123,0.022330446,160.90059,13.259415,24417929216.0,21.634783,20.895021,15,0,,False,POST,174.66,0.5,-2.1699982,-1.230646,1626206403,174.16,177.02,173.91 - 177.02,173.91,639280,176.33,173.41,179.41,9,14,NasdaqGS,USD,175.59,795400,728560,68.29,0.64503634,105.87 - 184.58,-10.419998,-0.056452475,105.87,184.58,1623283200.0,1620217800.0,1627993800.0,1628512200.0,1.56,29.42886,0.008847048,5.918,8.05,7.38,23.598917,0.0824075,CDW Corporation,NMS,CDW Corporation,finmb_332700,America/New_York,EDT,-14400000,us_market,False,,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1402057,1984
