Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta,Market Cap (intraday) clean,Enterprise Value clean,language,region,quoteType,quoteSourceName,triggerable,Currency,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,sharesOutstanding,Book Value,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,P/B,sourceInterval,exchangeDataDelayedBy,Analyst Rating,tradeable,marketState,postMarketPrice,postMarketChange,1 D Change $,1 D Change %,regularMarketTime,Price,High,regularMarketDayRange,Low,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,52wk Low,52wk High,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,Dividend,P/E,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,twoHundredDayAverageChangePercent,Company,exchange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,displayName,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
IT,22.01B,23.28B,64.53,41.04,1.74,5.26,24.97,5.56,29.34,1.59,22010000000.0,23280000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.52802086,1626212918,86076496.0,10.239,238.90176,16.768234,0.07018883,198.55637,57.113632,22007177216.0,41.038525,24.970211,15,0,,False,POST,254.32,-1.3499908,-0.970016,-0.377968,1626206703,255.67,257.32,255.64 - 257.32,255.64,420309,256.64,255.82,255.85,11,8,NYSE,USD,256.02,666987,527420,139.81,1.206715,115.86 - 258.31,-2.6399994,-0.010220275,115.86,258.31,,1620131400.0,1627907400.0,1628253000.0,,64.53054,,3.962,6.23,6.42,39.823986,0.28764442,"Gartner, Inc.",NYQ,"Gartner, Inc.",finmb_130705,America/New_York,EDT,-14400000,us_market,False,,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979
ITW,71.85B,77.29B,32.64,24.41,1.9,5.57,21.95,6.0,22.31,1.1,71850000000.0,77290000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.021982262,1626211157,315883008.0,10.365,228.10118,-0.6311798,-0.002767104,218.35014,9.119858,71853907968.0,24.406652,21.945972,15,0,,False,POST,227.52,0.05000305,0.0,0.0,1626206401,227.47,229.24,226.93 - 229.24,226.93,776774,227.47,227.62,227.8,8,9,NYSE,USD,228.08,954958,759880,53.22,0.30542326,174.25 - 242.07,-14.600006,-0.060313158,174.25,242.07,1626307200.0,1619769600.0,1627545600.0,1627905600.0,4.49,32.640266,0.019738866,6.969,9.32,8.5,26.761177,0.041767124,Illinois Tool Works Inc.,NYQ,Illinois Tool Works Inc.,finmb_280561,America/New_York,EDT,-14400000,us_market,False,,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826,1912
IVZ,12.2B,18.43B,17.29,8.75,0.43,1.97,1.16,2.97,11.98,1.31,12200000000.0,18430000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.2648494,1626211934,461451008.0,22.835,27.517647,-1.0876465,-0.03952542,24.722,1.7080002,12196150272.0,8.929054,1.1574339,15,0,,False,POST,26.36,-0.069999695,-0.279999,-1.04829,1626206622,26.43,26.96,26.415 - 26.96,26.415,3281495,26.71,26.0,26.46,29,8,NYSE,USD,26.65,3994549,4248140,16.71,1.7191356,9.72 - 29.71,-3.2799988,-0.1104005,9.72,29.71,1622678400.0,1619506508.0,1627282500.0,1627642500.0,0.635,17.285807,0.023773868,1.529,2.96,2.84,9.306338,0.069088265,Invesco Ltd,NYQ,Invesco Ltd.,finmb_384779,America/New_York,EDT,-14400000,us_market,False,,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935
J,17.3B,20.91B,,18.69,1.63,1.26,,1.52,18.84,0.89,17300000000.0,20910000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.29347536,1626208081,130215000.0,,137.06235,-4.172348,-0.030441241,126.03141,6.858589,17304270848.0,,,15,0,,False,POST,132.5,-0.3899994,-2.64999,-1.95514,1626206580,132.89,135.72,132.73 - 135.72,132.73,412220,135.54,133.12,139.0,10,8,NYSE,USD,135.29,606436,465320,55.379997,0.7144884,77.51 - 145.97,-13.080002,-0.08960746,77.51,145.97,1624579200.0,1620649800.0,1627907400.0,1628253000.0,,,,,,6.19,21.468498,0.05441968,Jacobs Engineering Group Inc.,NYQ,Jacobs Engineering Group Inc.,finmb_282159,America/New_York,EDT,-14400000,us_market,False,,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947
JBHT,17.64B,17.83B,32.53,21.85,1.18,1.77,6.48,1.79,13.71,1.03,17640000000.0,17830000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.38942775,1626208536,105671000.0,25.76,164.97765,1.9323578,0.011712846,159.3606,7.549408,17637545984.0,21.875492,6.4794254,15,0,,False,POST,167.56,0.6499939,1.4600067,0.88244593,1626206403,166.91,167.19,164.04 - 167.19,164.04,669259,165.45,166.93,167.56,12,9,NasdaqGS,USD,165.36,627647,621980,47.690002,0.40001678,119.22 - 183.8,-16.89,-0.09189336,119.22,183.8,1621555200.0,1626433140.0,1626433140.0,1626433140.0,1.09,32.52972,0.006588094,5.131,7.63,6.58,25.366262,0.047373116,"J.B. Hunt Transport Services, I",NMS,"J.B. Hunt Transport Services, Inc.",finmb_278576,America/New_York,EDT,-14400000,us_market,False,,J. B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535,1961
JCI,49.9B,56.32B,48.35,21.82,1.37,2.24,2.82,2.53,17.16,1.12,49900000000.0,56320000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.588916,1626216517,716715008.0,24.693,67.17647,2.4435349,0.036374863,59.911335,9.708668,49897701376.0,22.314104,2.8194225,15,0,,False,POST,69.21,-0.410004,-1.07,-1.51365,1626206402,69.62,70.68,69.44 - 70.68,69.44,3521098,70.69,69.21,69.76,18,9,NYSE,USD,70.65,4328576,4175400,36.070004,1.0751119,33.55 - 70.81,-1.1899948,-0.016805463,33.55,70.81,1626393600.0,1619785800.0,1627561800.0,1627907400.0,1.05,48.34722,0.014853585,1.44,3.12,2.64,26.371212,0.1620506,Johnson Controls International ,NYQ,Johnson Controls International plc,finmb_282590,America/New_York,EDT,-14400000,us_market,False,,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885
JKHY,12.37B,12.4B,42.99,36.72,3.95,7.2,9.41,7.22,27.62,0.59,12370000000.0,12400000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626207709,74185600.0,17.711,161.96794,4.7620544,0.029401217,156.83452,9.895477,12368964608.0,36.72467,9.413923,15,0,,False,POST,166.73,0.0,-0.33000183,-0.19753492,1626206402,166.73,167.8122,165.69 - 167.8122,165.69,199319,167.06,166.71,166.81,8,12,NasdaqGS,USD,166.7,511931,304340,25.080002,0.17705615,141.65 - 200.98,-34.25,-0.17041497,141.65,200.98,1623628800.0,1620062921.0,1629111540.0,1629460800.0,1.75,42.99381,0.010475279,3.878,4.54,4.0,41.6825,0.06309502,"Jack Henry & Associates, Inc.",NMS,"Jack Henry & Associates, Inc.",finmb_277617,America/New_York,EDT,-14400000,us_market,False,,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,779152,1976
JNJ,445.76B,451.33B,29.9,16.24,2.31,5.29,6.77,5.36,15.95,0.71,445760000000.0,451330000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626216647,2633400064.0,25.006,166.17471,3.0952911,0.018626727,163.7166,5.553406,445756000000.0,16.244722,6.7691755,15,0,,False,POST,169.27,0.0,-0.209991,-0.123903,1626206401,169.27,169.75,168.672 - 169.75,168.672,4464622,169.48,169.52,169.95,12,8,NYSE,USD,168.97,7094015,6420400,35.62001,0.2665171,133.65 - 173.65,-4.3799896,-0.025223091,133.65,173.65,1623110400.0,1626870600.0,1626870600.0,1626870600.0,4.04,29.90108,0.023837622,5.661,10.42,9.52,17.780462,0.033920847,Johnson & Johnson,NYQ,Johnson & Johnson,finmb_139677,America/New_York,EDT,-14400000,us_market,False,,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886
JNPR,9B,9.11B,44.49,14.52,1.89,1.99,2.03,2.01,13.85,0.85,9000000000.0,9110000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.3643,1626214335,327740000.0,13.53,27.47,-0.01999855,-0.000728014,25.626963,1.8230381,8996463616.0,14.52381,2.028825,15,0,,False,POST,27.35,-0.1,0.130001,0.475846,1626206402,27.45,27.9472,27.11 - 27.9472,27.11,4968304,27.32,27.35,27.6,18,40,NYSE,USD,27.49,3701404,2508980,7.9400005,0.4069708,19.51 - 29.08,-1.6299992,-0.05605224,19.51,29.08,1624320000.0,1619539800.0,1627297140.0,1627646400.0,0.8,44.489468,0.029282577,0.617,1.89,1.71,16.052631,0.0711375,"Juniper Networks, Inc.",NYQ,"Juniper Networks, Inc.",finmb_30439,America/New_York,EDT,-14400000,us_market,False,,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604,1996
JPM,471.17B,-244.79B,12.35,12.98,8.95,3.98,1.89,-2.07,,1.18,471170000000.0,-244790000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.038546458,1626216700,3027099904.0,82.307,157.96088,-2.3108826,-0.014629462,150.05911,5.5908813,471168000000.0,13.014214,1.8910906,15,0,,False,POST,155.59,-0.05999756,-2.35001,-1.48735,1626206401,155.65,157.3899,153.5001 - 157.3899,153.5001,22650612,158.0,155.31,155.59,9,22,NYSE,USD,156.05,14258592,15757720,64.27,0.70332676,91.38 - 167.44,-11.790009,-0.07041333,91.38,167.44,1627689600.0,1626179400.0,1626179400.0,1626179400.0,3.6,12.346314,0.022784809,12.607,11.96,13.15,11.836502,0.03725786,JP Morgan Chase & Co.,NYQ,JPMorgan Chase & Co.,finmb_658776,America/New_York,EDT,-14400000,us_market,False,,JPMorgan Chase,reports,Financials,Diversified Banks,New York City,1975-06-30,19617,2000 (1799 / 1871)
K,21.51B,29.93B,17.12,15.04,4.84,1.54,6.85,2.15,12.62,0.65,21510000000.0,29930000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.6808111,1626213921,340496000.0,9.216,64.84324,-1.683239,-0.025958588,62.260296,0.899704,21505726464.0,15.038095,6.8532987,15,0,,False,POST,63.59,0.4300003,-0.610001,-0.956564,1626206401,63.16,63.99,62.94 - 63.99,62.94,1868421,63.77,63.17,63.13,8,13,NYSE,USD,63.72,2459171,1580220,6.549999,0.115703925,56.61 - 72.88,-9.719997,-0.1333699,56.61,72.88,1623715200.0,1628166600.0,1628166600.0,1628166600.0,2.28,17.116531,0.03575349,3.69,4.2,4.07,15.518427,0.014450686,Kellogg Company,NYQ,Kellogg Company,finmb_283356,America/New_York,EDT,-14400000,us_market,False,,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,55067,1906
KEY,19.48B,32.36B,11.35,10.19,0.86,3.04,1.24,5.05,,1.56,19480000000.0,32360000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.398605,1626212798,970518976.0,16.177,21.502647,-1.4326477,-0.06662657,20.379185,-0.30918503,19478315008.0,10.187817,1.2406503,15,0,,False,POST,19.99,-0.0799999,-0.35,-1.71401,1626206402,20.07,20.42,19.92 - 20.42,19.92,5244499,20.42,19.99,20.08,40,29,NYSE,USD,20.43,7311171,7769420,8.78,0.7776793,11.29 - 23.65,-3.58,-0.1513742,11.29,23.65,1631664000.0,1618900209.0,1626784200.0,1627302600.0,0.74,11.3518095,0.036238983,1.768,1.97,2.17,9.248847,-0.015171609,KeyCorp,NYQ,KeyCorp,finmb_329376,America/New_York,EDT,-14400000,us_market,False,,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825
KEYS,29B,27.78B,39.4,24.37,1.74,6.26,8.19,6.0,21.98,0.92,29000000000.0,27780000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.26680103,1626209200,184226000.0,19.22,149.20117,8.218826,0.055085536,143.70815,13.711853,29000857600.0,24.368422,8.190427,15,0,,False,POST,157.0,-0.41999817,-0.300003,-0.190212,1626206571,157.42,158.58,156.99 - 158.58,156.99,743204,157.72,157.38,163.0,8,8,NYSE,USD,157.72,893719,772940,66.799995,0.73714405,90.62 - 158.58,-1.1600037,-0.007314943,90.62,158.58,,1621454400.0,1629284340.0,1629720000.0,,39.404255,,3.995,6.46,5.9,26.681355,0.09541459,Keysight Technologies Inc.,NYQ,"Keysight Technologies, Inc.",finmb_247017859,America/New_York,EDT,-14400000,us_market,False,,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014
KHC,47.9B,74.29B,88.6,14.72,-5.8,1.81,0.95,2.81,10.38,1.13,47900000000.0,74290000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.12767936,1626213634,1223149952.0,41.119,41.961178,-2.801178,-0.06675642,39.021927,0.13807297,47898550272.0,14.721804,0.9523578,15,0,,False,POST,39.21,0.049999237,-0.63000107,-1.583315,1626206402,39.16,39.8,38.99 - 39.8,38.99,4880426,39.79,38.91,39.49,40,22,NasdaqGS,USD,39.5843,5092614,5060660,10.598,0.3710524,28.562 - 44.95,-5.790001,-0.12880981,28.562,44.95,1624579200.0,1619699400.0,1627475400.0,1627907400.0,1.6,88.59728,0.040211108,0.442,2.66,2.66,14.721804,0.003538343,The Kraft Heinz Company,NMS,The Kraft Heinz Company,finmb_278212,America/New_York,EDT,-14400000,us_market,False,,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
KIM,9.09B,14.24B,8.88,41.12,7.1,8.65,1.6,13.56,24.13,1.52,9090000000.0,14240000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.619929,1626211428,433459008.0,13.066,21.210588,-0.24058914,-0.011342879,19.174963,1.7950363,9089635328.0,41.117645,1.6049287,15,0,,False,POST,20.84,-0.129999,-0.450001,-2.10084,1626206691,20.97,21.41,20.905 - 21.41,20.905,3494321,21.42,20.5,20.97,18,31,NYSE,USD,21.31,4992682,4814740,10.929999,1.0886453,10.04 - 22.31,-1.3400002,-0.06006276,10.04,22.31,1624406400.0,1619679000.0,1628166600.0,1628512200.0,0.43,8.878069,0.020074697,2.362,0.51,0.63,33.285713,0.09361355,Kimco Realty Corporation,NYQ,Kimco Realty Corporation,finmb_320371,America/New_York,EDT,-14400000,us_market,False,,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101,1958
KLAC,47.76B,48.75B,26.17,18.34,1.29,7.4,15.34,7.55,19.16,1.23,47760000000.0,48750000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.12516116,1626212423,153282000.0,20.311,315.1106,-3.5006104,-0.011109148,309.37503,2.2349548,47764201472.0,18.340788,15.341931,15,0,,False,POST,312.0,0.39001465,-2.4100037,-0.7674682,1626206402,311.61,315.0,310.11 - 315.0,310.11,553961,314.02,309.3,311.72,9,8,NasdaqGS,USD,312.12,1127958,913260,140.29999,0.8189831,171.31 - 359.69,-48.080017,-0.1336707,171.31,359.69,1622505600.0,1619726400.0,1627901940.0,1628251200.0,3.55,26.165922,0.011305013,11.909,16.99,14.16,22.006355,0.007224096,KLA Corporation,NMS,KLA Corporation,finmb_282225,America/New_York,EDT,-14400000,us_market,False,,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
KMB,45.33B,52.73B,20.15,16.94,6.9,2.4,87.57,2.79,12.89,0.52,45330000000.0,52730000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.0,1626212977,337432000.0,1.534,131.50352,2.8364716,0.021569548,133.19037,1.1496277,45330612224.0,16.940731,87.57497,15,0,,False,POST,134.34,0.0,-0.360001,-0.267261,1626206575,134.34,135.62,133.865 - 135.62,133.865,1752201,134.7,134.24,135.0,10,8,NYSE,USD,134.91,2537588,2040440,6.319992,0.049367223,128.02 - 160.16,-25.820007,-0.16121383,128.02,160.16,1625184000.0,1627047000.0,1627047000.0,1627047000.0,4.35,20.146969,0.032293987,6.668,7.93,7.36,18.252716,0.008631462,Kimberly-Clark Corporation,NYQ,Kimberly-Clark Corporation,finmb_283857,America/New_York,EDT,-14400000,us_market,False,,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872
KMI,41.4B,74.09B,22.76,19.87,3.5,3.0,1.29,5.37,11.48,1.12,41400000000.0,74090000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.437636,1626216056,2264580096.0,14.213,18.489412,-0.20941162,-0.011326029,16.579704,1.7002964,41396527104.0,19.869566,1.2861465,15,0,,False,POST,18.2,-0.0799999,-0.24,-1.29589,1626206402,18.28,18.51,18.26 - 18.51,18.26,9130189,18.52,18.29,18.43,215,215,NYSE,USD,18.42,14628947,11313800,6.830001,0.59650666,11.45 - 19.29,-1.0100002,-0.052358743,11.45,19.29,1621209600.0,1619035200.0,1626778740.0,1627300800.0,1.058,22.764635,0.057127427,0.803,0.92,1.2,15.233334,0.102552876,"Kinder Morgan, Inc.",NYQ,"Kinder Morgan, Inc.",finmb_34952431,America/New_York,EDT,-14400000,us_market,False,,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997
KMX,21.49B,34.82B,29.15,18.71,1.25,1.07,4.93,1.73,27.09,1.65,21490000000.0,34820000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,-0.182181,1626215056,163151008.0,26.748,121.09412,10.645889,0.08791418,122.39519,9.344818,21493514240.0,20.52025,4.9252286,15,0,,False,POST,131.5,-0.240005,-3.67999,-2.71747,1626206624,131.74,134.82,131.61 - 134.82,131.61,1277543,135.42,132.08,131.86,12,9,NYSE,USD,134.32,1141409,1059840,47.04001,0.555372,84.7 - 138.77,-7.029999,-0.050659355,84.7,138.77,,1624624200.0,1632313800.0,1632745800.0,,29.146019,,4.52,6.42,6.88,19.148256,0.07634956,CarMax Inc,NYQ,"CarMax, Inc.",finmb_356805,America/New_York,EDT,-14400000,us_market,False,,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,1170010,1993
KO,237.23B,266.93B,32.95,23.31,2.72,7.1,11.65,7.98,22.65,0.61,237230000000.0,266930000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.21810056,1626215771,4311680000.0,4.722,54.85412,0.16588211,0.003024059,52.55452,2.4654808,237229000000.0,23.31356,11.651842,15,0,,False,POST,55.14,0.11999893,0.540001,0.991191,1626206402,55.02,55.29,54.75 - 55.29,54.75,14473902,54.48,55.0,55.02,14,8,NYSE,USD,54.95,14142241,13508560,10.350002,0.23169918,44.67 - 56.48,-1.4599991,-0.025849842,44.67,56.48,1625097600.0,1618815300.0,1626697800.0,1627043400.0,1.65,32.94611,0.030286344,1.67,2.36,2.18,25.238531,0.046912823,Coca-Cola Company (The),NYQ,The Coca-Cola Company,finmb_26642,America/New_York,EDT,-14400000,us_market,False,,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886
KR,28.48B,47.45B,19.74,12.52,1.22,0.22,3.09,0.36,8.62,0.35,28480000000.0,47450000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.026273,1626216014,748000000.0,12.338,38.233234,-0.16323471,-0.004269445,35.906517,2.1634827,28476360704.0,12.523026,3.0855892,15,0,,False,POST,38.08,0.0100021,-0.240002,-0.626473,1626206402,38.07,38.59,37.85 - 38.59,37.85,4576579,38.31,37.86,38.07,22,12,NYSE,USD,38.3,7797495,5813680,7.7199993,0.2543657,30.35 - 42.99,-4.920002,-0.11444526,30.35,42.99,1630454400.0,1623916823.0,1631190600.0,1631536200.0,0.72,19.735615,0.018794049,1.929,3.04,3.07,12.400652,0.060253203,Kroger Company (The),NYQ,The Kroger Co.,finmb_284342,America/New_York,EDT,-14400000,us_market,False,,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883
KSU,24.42B,29.67B,40.43,25.5,1.91,9.37,5.76,11.38,21.55,1.1,24420000000.0,29670000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626207467,90933696.0,46.629,288.50293,-19.99292,-0.06929885,253.36378,15.146225,24416608256.0,25.621185,5.758434,15,0,,False,POST,268.51,0.0,-1.89999,-0.702634,1626206401,268.51,270.78,267.9 - 270.78,267.9,536949,270.41,268.17,268.27,8,8,NYSE,USD,270.79,1315580,1482000,121.41,0.8253569,147.1 - 315.39,-46.880005,-0.14864138,147.1,315.39,1625616000.0,1618560000.0,1626352200.0,1626697800.0,1.78,40.432167,0.006582597,6.641,10.48,8.99,29.867632,0.059780546,Kansas City Southern,NYQ,Kansas City Southern,finmb_30472,America/New_York,EDT,-14400000,us_market,False,,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,54480,1887
L,14.28B,19.75B,,,,1.09,0.83,1.51,15.21,0.93,14280000000.0,19750000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626207464,263176000.0,65.475,55.901176,-1.6411781,-0.029358562,52.27926,1.9807396,14279928832.0,18.710344,0.82871324,15,0,,False,POST,54.26,0.0,-0.790001,-1.43506,1626206401,54.26,55.1,54.24 - 55.1,54.24,795973,55.05,54.41,54.31,9,8,NYSE,USD,55.0,825896,992100,21.509998,0.65679383,32.75 - 59.39,-5.130001,-0.086378194,32.75,59.39,1623110400.0,1620021605.0,1627907400.0,1628253000.0,0.25,,0.004541326,-0.143,2.9,,,0.037887674,Loews Corporation,NYQ,Loews Corporation,finmb_285930,America/New_York,EDT,-14400000,us_market,False,,Loews Corporation,reports,Financials,Multi-line Insurance,New York City,,60086,1959
LB,20.67B,23.95B,24.71,13.03,0.57,1.74,,2.02,10.0,1.79,20670000000.0,23950000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-1.91582,1626215810,278897984.0,-2.381,68.897644,5.2223587,0.0757988,59.13348,14.986523,20671920128.0,15.034484,-31.129778,15,0,,False,POST,72.7,-1.4200058,-2.43999,-3.18704,1626206564,74.12,76.73,74.03 - 76.73,74.03,2995188,76.56,72.51,73.0,9,9,NYSE,USD,76.13,3973382,3004020,58.0,3.5980146,16.12 - 77.87,-3.75,-0.04815718,16.12,77.87,1623974400.0,1629316800.0,1629316800.0,1629316800.0,0.3,24.706667,0.003918496,3.0,4.93,5.82,12.735395,0.2534355,"L Brands, Inc.",NYQ,"L Brands, Inc.",finmb_285544,America/New_York,EDT,-14400000,us_market,False,,L Brands,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,701985,1963
LDOS,14.8B,19.37B,24.02,14.49,1.53,1.16,3.85,1.52,13.43,0.94,14800000000.0,19370000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,-0.38193595,1626207505,141346000.0,27.197,103.97176,0.75823975,0.007292747,102.0283,2.701706,14803167232.0,14.6475525,3.8507924,15,0,,False,POST,104.33,-0.40000153,-0.359993,-0.342557,1626206606,104.73,106.17,104.58 - 106.17,104.58,813297,105.09,103.33,104.82,10,9,NYSE,USD,105.32,699606,669840,25.580002,0.32318383,79.15 - 113.75,-9.019997,-0.07929667,79.15,113.75,1625011200.0,1620131400.0,1627907400.0,1628253000.0,1.36,24.020641,0.012941289,4.36,7.15,6.61,15.844175,0.026479967,"Leidos Holdings, Inc.",NYQ,"Leidos Holdings, Inc.",finmb_110741,America/New_York,EDT,-14400000,us_market,False,,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920,1969
LEG,6.62B,8.61B,23.33,16.35,3.45,1.51,4.55,1.96,13.68,1.5,6620000000.0,8610000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,,2,0.0,1626211010,133233000.0,10.926,52.43941,-2.7394104,-0.052239534,48.326298,1.373703,6621680128.0,16.348684,4.548783,15,0,,False,POST,49.7,0.0,-1.1,-2.16535,1626206402,49.7,50.58,49.57 - 50.58,49.57,680667,50.8,49.71,49.67,12,9,NYSE,USD,50.49,761547,512000,15.52,0.45406672,34.18 - 59.16,-9.459999,-0.15990533,34.18,59.16,1626307200.0,1627934400.0,1627934400.0,1627934400.0,1.6,23.333332,0.031496063,2.13,3.04,2.72,18.272058,0.02842558,"Leggett & Platt, Incorporated",NYQ,"Leggett & Platt, Incorporated",finmb_30760,America/New_York,EDT,-14400000,us_market,False,,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",1999-10-14,58492,1883
LEN,29.35B,33.4B,8.88,7.0,0.73,1.2,1.51,1.37,7.45,1.49,29350000000.0,33400000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.208765,1626216660,275760000.0,63.375,97.022644,-1.222641,-0.012601605,93.309555,2.490448,29354176512.0,6.997809,1.5116371,15,0,,False,POST,96.0,0.199997,-2.88,-2.91852,1626206401,95.8,98.17,95.67 - 98.17,95.67,2152579,98.68,95.06,97.5,10,12,NYSE,USD,98.22,2468471,2882180,33.56,0.5392031,62.24 - 110.61,-14.809998,-0.13389383,62.24,110.61,1626652800.0,1623861004.0,1631530740.0,1631880000.0,0.875,8.879415,0.008867045,10.789,13.69,13.51,7.091044,0.026690172,Lennar Corporation,NYQ,Lennar Corporation,finmb_30763,America/New_York,EDT,-14400000,us_market,False,,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760,1954
LH,27.33B,30.61B,10.4,17.44,-1.07,1.78,2.73,2.0,6.9,1.05,27330000000.0,30610000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,,2,0.0,1626208971,97700000.0,102.469,268.78088,10.929108,0.040661775,249.79956,29.91043,27327666176.0,17.514715,2.7297034,15,0,,False,POST,279.71,0.0,-1.76001,-0.625292,1626206401,279.71,281.93,279.02 - 281.93,279.02,396100,281.47,280.14,280.14,8,8,NYSE,USD,280.8,646706,525880,109.65999,0.6448691,170.05 - 284.17,-4.460022,-0.015694907,170.05,284.17,,1619699400.0,1627302600.0,1627648200.0,,10.400461,,26.894,15.97,22.56,12.398493,0.11973772,Laboratory Corporation of Ameri,NYQ,Laboratory Corporation of America Holdings,finmb_30643,America/New_York,EDT,-14400000,us_market,False,,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148,1978
